Station,Time,TN mg/l,TP mg/l,Chla ug/l,IN mg/l,OP mg/l,DO %,DO mg/l,NH3 mg/l,NO2 mg/l,NO3 mg/l,NOx mg/l,pH,Sal PSU,SpCond mS/cm,Temp,TKN mg/l,TOC mg/l,TSS mg/l,Turb NTU,Lab Code,Trend Code,WaterBdy
SanCityWQ3,1/15/2020,1.99,0.063,32.4,0.01,0.03,4.9,0.44,0.008,,,0.01,7.98,2.5,5,21.15,1.99,,,14,,,
SanCityWQ3,2/20/2020,1.81,0.082,14.3,0.01,0.08,11.9,0.99,0.008,,,0.01,8.03,2.2,4.3,23.8,1.8,,,7,,,
SanCityWQ3,3/5/2020,1.77,0.112,22.4,0.01,0.1,13.9,1.21,0.008,,,0.01,8.1,2.2,4.5,22.67,1.77,,,5,,,
SanCityWQ3,4/21/2020,1.87,0.075,24.6,0.03,0.03,21,1.63,0.02,,,0.01,8.16,2.4,4.8,28.02,1.87,,,6.1,,,
SanCityWQ3,5/26/2020,2.2,0.068,41.6,0.02,0.05,6.2,0.48,0.014,,,0.01,8.1,3.2,6.5,27.48,2.2,,,8.9,,,
SanCityWQ3,6/11/2020,2.4,0.099,72.7,0.01,0.06,7.1,0.53,0.005,,,0.01,7.7,3.4,6.8,29.2,2.4,,,15.4,,,
SanCityWQ3,7/22/2020,2.22,0.094,60.2,0.01,0.08,5,0.39,0.008,,,0.01,7.78,2.7,5.5,27.4,2.22,,,36.6,,,
SanCityWQ3,10/21/2020,3.11,0.071,24.8,0.03,0.068,,,0.024,0.006,0.006,0.006,,,,,3.11,27.2,3.67,,,,
SanCityWQ3,11/18/2020,1.78,0.065,58.2,0.261,0.056,,,0.255,0.003,0.006,0.006,,,,,1.78,30,4.5,,,,
SanCityWQ3,12/14/2020,1.63,0.214,31.8,0.13,0.008,,,0.124,0.003,0.006,0.006,,,,,1.63,28.2,6,,,,
SanCityWQ4,1/15/2020,2.57,0.08,69.3,0.01,0.03,11.1,0.96,0.008,,,0.01,7.18,4.4,8.8,22.02,2.57,,,3.6,,,
SanCityWQ4,2/20/2020,2.54,0.065,28.5,0.02,0.05,33.6,2.69,0.008,,,0.01,7.83,3.2,6.5,25.6,2.53,,,2.4,,,
SanCityWQ4,3/5/2020,2.18,0.073,10.5,0.04,0.05,33,2.72,0.037,,,0.01,8.02,3.8,7.6,24.24,2.18,,,2.2,,,
SanCityWQ4,4/21/2020,3.15,0.141,47.3,0.01,0.01,33.9,2.53,0.008,,,0.01,8.11,5.3,10.5,29.09,3.14,,,7.4,,,
SanCityWQ4,5/26/2020,3.47,0.129,51.4,0.04,0.03,23.5,1.77,0.034,,,0.01,8.05,5.8,11.5,28.17,3.47,,,9.2,,,
SanCityWQ4,6/11/2020,2.56,0.095,51.5,0.02,0.05,10.6,0.79,0.014,,,0.01,7.63,4.1,8.2,29.3,2.56,,,6.6,,,
SanCityWQ4,7/22/2020,2.39,0.141,79.2,0.04,0.1,10.4,0.78,0.038,,,0.01,7.02,5.5,10.9,28.9,2.39,,,11.5,,,
SanCityWQ4,10/21/2020,2.78,0.092,27.4,0.038,0.09,,,0.032,0.009,0.006,0.006,,,,,2.78,34.9,4,,,,
SanCityWQ4,11/18/2020,1.75,0.058,134,0.014,0.054,,,0.008,0.003,0.006,0.006,,,,,1.75,38.5,3.5,,,,
SanCityWQ4,12/14/2020,2.22,0.138,253,0.014,0.029,,,0.008,0.003,0.006,0.006,,,,,2.22,34.6,19,,,,
SanCityWQ5,1/15/2020,2.34,0.076,60.4,0.04,0.03,30.2,2.59,0.029,,,0.01,7.54,5.8,11.5,21.64,2.34,,,2.6,,,
SanCityWQ5,2/20/2020,2.1,0.074,10.8,0.01,0.07,54.4,4.39,0.008,,,0.01,8,4.7,9.5,24.7,2.09,,,1.5,,,
SanCityWQ5,3/5/2020,2.11,0.123,26.1,0.01,0.09,54,4.41,0.008,,,0.01,8.07,5.1,10.3,24.42,2.11,,,0.7,,,
SanCityWQ5,4/21/2020,2.58,0.653,14.2,0.03,0.17,14.9,1.11,0.028,,,0.01,7.96,6.7,13.4,28.62,2.58,,,6.3,,,
SanCityWQ5,5/26/2020,1.46,0.062,11.2,0.55,0.03,23.9,1.64,0.54,,,0.01,7.85,15.7,31.4,29.16,1.46,,,2.8,,,
SanCityWQ5,6/11/2020,2.32,0.075,18.2,0.07,0.08,16.9,1.24,0.059,,,0.01,7.8,6.5,13,29.4,2.32,,,2.7,,,
SanCityWQ5,7/22/2020,2.13,0.107,19.5,0.15,0.08,12.3,0.93,0.146,,,0.01,7.6,6.4,12.8,27.4,2.13,,,3.3,,,
SanCityWQ5,10/21/2020,3.83,0.088,6.14,0.014,0.087,,,0.008,0.008,0.006,0.006,,,,,3.83,34.5,1.67,,,,
SanCityWQ5,11/18/2020,2.01,0.079,78.7,0.014,0.062,,,0.008,0.003,0.006,0.006,,,,,2.01,36.9,17.5,,,,
SanCityWQ5,12/14/2020,1.78,0.039,18.1,0.039,0.027,,,0.033,0.003,0.006,0.006,,,,,1.78,38.4,4.5,,,,
SanCityWQ6,1/15/2020,1.92,0.086,38.1,0.02,0.04,2.5,0.22,0.011,,,0.01,7.68,3.1,6.2,21.29,1.92,,,4.6,,,
SanCityWQ6,2/20/2020,1.86,0.093,39.2,0.01,0.07,12.8,1.05,0.008,,,0.01,7.95,2.5,4.9,24.9,1.86,,,6.1,,,
SanCityWQ6,3/5/2020,1.53,0.093,14.6,0.01,0.08,12.9,1.12,0.008,,,0.01,8.02,2.7,5.4,21.79,1.53,,,4.3,,,
SanCityWQ6,4/21/2020,1.89,0.067,6.4,0.06,0.03,91.3,6.94,0.052,,,0.01,8.2,3,5.9,29.01,1.89,,,4.6,,,
SanCityWQ6,5/26/2020,2.31,0.078,12.8,0.05,0.07,30.9,2.33,0.016,,,0.04,8.05,3,6.1,29.3,2.27,,,9,,,
SanCityWQ6,6/11/2020,2.65,0.143,79,0.01,0.08,12.5,0.94,0.007,,,0.01,7.87,2.8,5.5,29.1,2.65,,,14.9,,,
SanCityWQ6,7/22/2020,1.56,0.111,13,0.04,0.11,29.5,2.29,0.033,,,0.01,7.72,2.3,4.5,27.7,1.56,,,4.2,,,
SanCityWQ6,10/21/2020,2.78,0.122,48.2,0.019,0.106,,,0.013,0.007,0.006,0.006,,,,,2.78,30.2,5,,,,
SanCityWQ6,11/18/2020,1.59,0.078,40.3,0.014,0.076,,,0.008,0.003,0.006,0.006,,,,,1.59,32.8,11,,,,
SanCityWQ6,12/14/2020,1.38,0.067,15.8,0.023,0.027,,,0.013,0.003,0.01,0.01,,,,,1.37,26.4,2.4,,,,
SanCityWQ7,1/15/2020,1.93,0.122,44.2,0.01,0.05,40.5,3.47,0.008,,,0.01,7.82,3.1,6.2,22.72,1.93,,,4,,,
SanCityWQ7,2/20/2020,1.71,0.112,31.2,0.02,0.09,66.2,5.06,0.008,,,0.01,8.05,2.6,5.2,28.5,1.7,,,7.7,,,
SanCityWQ7,3/5/2020,1.7,0.122,18.7,0.01,0.12,38,3.23,0.008,,,0.01,7.97,2.8,5.6,23.01,1.7,,,3.4,,,
SanCityWQ7,4/21/2020,2.57,0.13,58.1,0.01,0.05,53.7,4.11,0.008,,,0.01,8.18,4.5,8.9,27.94,2.57,,,21.9,,,
SanCityWQ7,5/26/2020,2.59,0.1,43,0.01,0.09,21.6,1.62,0.008,,,0.01,8.04,4.2,8.5,29.01,2.59,,,8.4,,,
SanCityWQ7,6/11/2020,2.58,0.196,101,0.03,0.11,8,0.61,0.024,,,0.01,7.76,3.4,6.8,28.6,2.58,,,15.4,,,
SanCityWQ7,7/22/2020,2.69,0.177,106,0.49,0.13,1.9,0.15,0.059,,,0.43,7.64,2.4,4.7,27.8,2.26,,,4,,,
SanCityWQ7,10/21/2020,4.07,0.128,63.5,0.014,0.1,,,0.008,0.009,0.006,0.006,,,,,4.07,30.6,10,,,,
SanCityWQ7,11/18/2020,1.63,0.122,39.6,0.025,0.087,,,0.019,0.003,0.006,0.006,,,,,1.63,30,13,,,,
SanCityWQ7,12/14/2020,1.55,0.091,19.6,0.057,0.033,,,0.051,0.003,0.006,0.006,,,,,1.55,26.1,3.6,,,,
SanCityWQ8,1/15/2020,1.81,0.161,15.7,0.07,0.09,6.3,0.56,0.059,,,0.01,7.75,3.1,6.3,21.36,1.81,,,3.2,,,
SanCityWQ8,2/20/2020,1.72,0.135,33.9,0.01,0.1,17.4,1.44,0.008,,,0.01,7.84,2.6,5.1,24.1,1.72,,,2.7,,,
SanCityWQ8,3/5/2020,1.88,0.148,50.4,0.01,0.15,42.7,3.63,0.008,,,0.01,8.08,2.8,5.6,22.93,1.88,,,3.2,,,
SanCityWQ8,4/21/2020,3.39,0.22,70,0.01,0.07,24,1.78,0.008,,,0.01,7.98,8.9,17.9,27.88,3.39,,,10.6,,,
SanCityWQ8,5/26/2020,3.02,0.202,76.2,0.01,0.11,9.9,0.76,0.008,,,0.01,8.02,5.9,11.9,27.45,3.02,,,12,,,
SanCityWQ8,6/11/2020,1.92,0.187,101,0.02,0.1,9.3,0.72,0.014,,,0.01,7.65,2.6,5.2,28.2,1.91,,,14.2,,,
SanCityWQ8,7/22/2020,1.52,0.125,72.7,0.3,0.08,9.6,0.76,0.018,,,0.28,7.61,1.9,3.9,26.3,1.24,,,9.7,,,
SanCityWQ8,10/21/2020,1.87,0.141,52.4,0.014,0.108,,,0.008,0.008,0.006,0.006,,,,,1.87,30.4,2.67,,,,
SanCityWQ8,11/18/2020,1.66,0.154,25.8,0.06,0.121,,,0.054,0.003,0.006,0.006,,,,,1.66,29.2,10,,,,
SanCityWQ8,12/14/2020,1.08,0.075,18.8,0.062,0.049,,,0.056,0.003,0.006,0.006,,,,,1.08,24.7,0.812,,,,
